epoch,NME
001,0.619
002,0.502
003,0.482
004,0.416
005,0.458
006,0.418
007,0.466
008,0.400
009,0.399
010,0.391
011,0.374
012,0.393
013,0.349
014,0.357
015,0.348
016,0.344
017,0.329
018,0.354
019,0.361
020,0.364
021,0.366
022,0.361
023,0.369
024,0.355
025,0.301
026,0.317
027,0.339
028,0.326
029,0.311
030,0.332
031,0.298
032,0.344
033,0.303
034,0.299
035,0.300
036,0.303
037,0.302
038,0.288
039,0.304
040,0.291
041,0.303
042,0.282
043,0.293
044,0.300
045,0.274
046,0.305
047,0.267
048,0.313
049,0.301
050,0.291
051,0.284
052,0.270
053,0.292
054,0.284
055,0.270
056,0.279
057,0.273
058,0.291
059,0.286
060,0.284
061,0.273
062,0.281
063,0.306
064,0.290
065,0.308
066,0.302
067,0.330
068,0.264
069,0.305
070,0.287
071,0.265
072,0.285
073,0.283
074,0.287
075,0.261
076,0.284
077,0.306
078,0.316
079,0.297
080,0.307
081,0.287
082,0.259
083,0.283
084,0.284
085,0.291
086,0.305
087,0.292
088,0.303
089,0.325
090,0.295
091,0.273
092,0.310
093,0.303
094,0.297
095,0.301
096,0.302
097,0.281
098,0.301
099,0.299
100,0.307
101,0.292
102,0.303
103,0.270
104,0.276
105,0.292
106,0.295
107,0.298
108,0.277
109,0.296
110,0.279
111,0.285
112,0.289
113,0.267
114,0.279
115,0.297
116,0.285
117,0.297
118,0.261
119,0.279
120,0.293
