epoch,NME
001,0.635
002,0.481
003,0.474
004,0.489
005,0.421
006,0.415
007,0.411
008,0.419
009,0.388
010,0.394
011,0.362
012,0.374
013,0.421
014,0.435
015,0.353
016,0.354
017,0.343
018,0.381
019,0.361
020,0.327
021,0.329
022,0.347
023,0.348
024,0.341
025,0.336
026,0.362
027,0.324
028,0.334
029,0.345
030,0.318
031,0.325
032,0.343
033,0.330
034,0.295
035,0.302
036,0.301
037,0.284
038,0.332
039,0.323
040,0.295
041,0.291
042,0.291
043,0.301
044,0.327
045,0.297
046,0.330
047,0.303
048,0.271
049,0.333
050,0.293
051,0.304
052,0.289
053,0.325
054,0.319
055,0.305
056,0.306
057,0.295
058,0.305
059,0.297
060,0.302
