epoch,NME
001,6.134
002,5.157
003,4.556
004,4.359
005,4.256
006,4.389
007,4.252
008,4.097
009,3.916
010,4.110
011,4.009
012,4.129
013,3.886
014,3.810
015,3.778
016,3.712
017,3.696
018,3.989
019,4.117
020,3.743
021,3.817
022,3.724
023,3.698
024,3.680
025,3.829
026,3.612
027,3.654
028,3.592
029,3.515
030,3.635
031,3.487
032,3.461
033,3.482
034,3.452
035,3.446
036,3.471
037,3.441
038,3.426
039,3.454
040,3.443
041,3.461
042,3.426
043,3.416
044,3.461
045,3.374
046,3.413
047,3.433
048,3.390
049,3.419
050,3.428
051,3.421
052,3.416
053,3.409
054,3.403
055,3.410
056,3.419
057,3.425
058,3.414
059,3.404
060,3.411
061,3.392
062,3.404
063,3.408
064,3.400
065,3.418
066,3.405
067,3.409
068,3.407
069,3.420
070,3.421
071,3.398
072,3.397
073,3.421
074,3.404
075,3.405
076,3.413
077,3.413
078,3.407
079,3.398
080,3.406
081,3.404
082,3.418
083,3.426
084,3.412
085,3.405
086,3.387
087,3.392
088,3.421
089,3.420
090,3.395
091,3.411
092,3.391
093,3.394
094,3.402
095,3.415
096,3.388
097,3.397
098,3.415
099,3.414
100,3.410
101,3.410
102,3.400
103,3.407
104,3.399
105,3.398
106,3.402
107,3.402
108,3.400
109,3.388
110,3.416
111,3.386
112,3.407
113,3.399
114,3.396
115,3.408
116,3.404
117,3.411
118,3.396
119,3.398
120,3.403
